iter	RMSE
0	14.68019844
1	14.19844027
2	13.59725689
3	13.08794005
4	12.64228149
5	12.18558532
6	11.78110095
7	11.36005721
8	11.06578291
9	10.75699286
10	10.38630469
11	10.07065462
12	9.786098542
13	9.523278589
14	9.284063167
15	9.071185773
16	8.853469685
17	8.675903071
18	8.467124411
19	8.275120861
20	8.127673069
21	8.003574889
22	7.871005682
23	7.715526094
24	7.611850542
25	7.465570759
26	7.344397057
27	7.222057993
28	7.120743656
29	7.027295877
30	6.941871219
31	6.834781845
32	6.771134208
33	6.719679022
34	6.639316808
35	6.57043718
36	6.507868201
37	6.437376338
38	6.383391858
39	6.33373497
40	6.294707137
41	6.248293729
42	6.197567651
43	6.161639862
44	6.13485022
45	6.095644935
46	6.070351171
47	6.050183755
48	6.031644038
49	6.000435938
50	5.977804446
51	5.95777414
52	5.921162723
53	5.904934467
54	5.873744203
55	5.850726118
56	5.829578935
57	5.807684273
58	5.788195617
59	5.770275621
60	5.749604736
61	5.727574014
62	5.711874903
63	5.694774752
64	5.681564767
65	5.662134296
66	5.645561291
67	5.637153127
68	5.629496412
69	5.621283929
70	5.609941989
71	5.596466303
72	5.583875274
73	5.572291629
74	5.565871426
75	5.553268615
76	5.543527356
77	5.534287747
78	5.528997948
79	5.516218031
80	5.510341795
81	5.50133335
82	5.492099715
83	5.483711205
84	5.474325088
85	5.469249958
86	5.462292579
87	5.459026907
88	5.450049698
89	5.443164335
90	5.432723463
91	5.43149893
92	5.42505157
93	5.419106638
94	5.41309085
95	5.408784927
96	5.405230757
97	5.396000689
98	5.391355979
99	5.387923235
100	5.384067819
101	5.379028732
102	5.373067429
103	5.364326893
104	5.358604932
105	5.356667292
106	5.352404339
107	5.348241726
108	5.343800297
109	5.33973106
110	5.335225067
111	5.331720737
112	5.324153895
113	5.323411512
114	5.320642204
115	5.317641007
116	5.314806072
117	5.309682217
118	5.306828731
119	5.303105333
120	5.300482719
121	5.29782764
122	5.29574335
123	5.291860565
124	5.28911596
125	5.286919188
126	5.285230729
127	5.28157938
128	5.279214115
129	5.275521897
130	5.273255665
131	5.270188377
132	5.265850485
133	5.262875802
134	5.260191239
135	5.259036243
136	5.256199263
137	5.252329627
138	5.247595723
139	5.244591176
140	5.242631487
141	5.240842199
142	5.236088225
143	5.234030346
144	5.228938735
145	5.225557467
146	5.222324342
147	5.215393626
148	5.212596678
149	5.208077443
150	5.204924647
151	5.201803571
152	5.196957087
153	5.195095802
154	5.192291602
155	5.188403836
156	5.183692252
157	5.177160873
158	5.175460792
159	5.1707432
160	5.166737992
161	5.164868387
162	5.163099945
163	5.158357666
164	5.155767793
165	5.154558661
166	5.148622691
167	5.142711699
168	5.141657969
169	5.136040532
170	5.130832117
171	5.126871294
172	5.121938475
173	5.116777425
174	5.111278908
175	5.107981973
176	5.107332443
177	5.105848157
178	5.104936527
179	5.102579295
180	5.092790722
181	5.091278408
182	5.087083558
183	5.08410099
184	5.083293447
185	5.080302882
186	5.079765188
187	5.078201452
188	5.076825829
189	5.073820059
190	5.071542232
191	5.068093235
192	5.064767388
193	5.062039641
194	5.060597106
195	5.057913392
196	5.055137356
197	5.052741329
198	5.048911722
199	5.046478072
200	5.04222009
201	5.037335485
202	5.035711773
203	5.033314144
204	5.032508817
205	5.029754485
206	5.027293376
207	5.022507222
208	5.01986529
209	5.017687846
210	5.01417392
211	5.010283448
212	5.008908251
213	5.005136578
